baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Zfy1	118.096761427504	-2.421258090197	0.800165407131111	-3.02594697123699	0.00247855767804145	0.0268154134491446
Ly6g6e	289.17215465277	-2.41574568264133	0.425701755299527	-5.67473742489408	0.0000000138901545385005	0.000000802516646448469
Spp1	9556.9153750528	-2.39969512940586	0.224824360113049	-10.6736437644	0.0000000000000000000000000135217599157092	0.00000000000000000000000990931500349134
Serpinh1	900.470942272297	-2.398611049186	0.516946942347256	-4.63995596587695	0.00000348483425347893	0.000110029097835466
Gal3st3	158.512220848508	-2.38900222720528	0.586024800094343	-4.07662308288093	0.0000456944726591661	0.00103287311251011
Rgcc	74.4727570032706	-2.37685027083594	0.723122903566178	-3.28692433763912	0.00101288044148139	0.0131806983805484
Zscan10	151.015621579356	-2.3566772979986	0.840713612028156	-2.80318679783631	0.00506003527276989	0.0463221112018724
Gm5662	129.505679522167	-2.34092582455629	0.436111777402463	-5.3677198045399	0.0000000797383015923562	0.00000388208430549639
Oas1g	115.530024159827	-2.33891798577637	0.639569643335889	-3.65701845005802	0.000255166020536235	0.00441906924122704
Fgd1	864.427402344279	-2.33459448944025	0.426805888896268	-5.46992098791695	0.0000000450236250856917	0.00000231519203998587
Cacnb1	76.7730745490227	-2.33417103831749	0.677800577203329	-3.44374306665318	0.000573720630970471	0.00836490687500821
Tat	4860.00762933926	-2.3075495690327	0.167851191769142	-13.747591212855	0.000000000000000000000000000000000000000000526535759599601	0.00000000000000000000000000000000000000183287097916621
Irak3	107.503003716358	-2.29846117396809	0.673540053144652	-3.41250852601406	0.00064367913393361	0.00921129317666145
Evi5l	197.786323680271	-2.29429759200257	0.720328782982227	-3.18506999332162	0.00144719001007138	0.0175375750219617
Rnf130	6667.32575006582	-2.28567390329503	0.214566078070258	-10.6525408109785	0.0000000000000000000000000169669726001339	0.0000000000000000000000118124063242132
Lrrc2	225.219095615697	-2.27467560455351	0.57544357228731	-3.95290818092204	0.000077207069289715	0.00161174097869564
Hunk	194.479321385658	-2.26978605998247	0.553350266976969	-4.10189746972137	0.0000409775856786203	0.000943094054527453
2010015L04Rik	58.7718253326128	-2.26515635756376	0.667778364329316	-3.392078088422	0.000693646684076949	0.0097657597867416
Pacsin1	127.281399261827	-2.25717790928903	0.632056547844135	-3.57116450575186	0.000355397577464136	0.00576992591836726
Tspan17	153.177857747308	-2.252103709504	0.591119194535514	-3.80989778427622	0.000139024257800088	0.00267372067072987
Tnfrsf1b	104.840161368008	-2.24729412112221	0.628352276825382	-3.57648759144502	0.000348241838658786	0.00567125071518706
Ube2l6	373.718780110823	-2.24507541888351	0.364925222111251	-6.1521519556658	0.000000000764385854301823	0.0000000581601564770414
B3gnt3	232.427442769526	-2.24331834442763	0.550466142564352	-4.07530667368044	0.000045953746088204	0.00103534128062853
Sparc	4333.64860017503	-2.24248318784439	0.30504695456259	-7.35127217073813	0.000000000000196329183212465	0.0000000000305924890360017
Sox2	1225.03255142649	-2.23273690302024	0.189382044321059	-11.7895913048392	0.0000000000000000000000000000000441679141018163	0.0000000000000000000000000000559085487230628
9030617O03Rik	544.147526189925	-2.22865934914733	0.394923998291801	-5.64326138392994	0.0000000166858727734442	0.000000944447530477384
Scara5	74.3392295127817	-2.22722999734773	0.646064382004376	-3.447380879345	0.000566049961787091	0.00830524727916065
Smarca2	3740.03497794562	-2.2224192390355	0.311890292241091	-7.12564415861193	0.00000000000103595040458082	0.000000000131132485758031
Plekha6	527.007388754926	-2.21233753910049	0.44790500004795	-4.93930083134516	0.000000784031774017346	0.0000296653761451563
Boc	123.142103997743	-2.20900306764374	0.769164153438694	-2.871952700562	0.00407944020876299	0.0395557976788411
Prss35	339.561474744363	-2.18933396366682	0.400814168701613	-5.46221699387248	0.0000000470224798794214	0.00000240713606559214
Kifc2	154.22709287642	-2.18397870645278	0.527105710281496	-4.14334101083147	0.0000342282393066663	0.000812628373075237
Rec8	238.695988558128	-2.17238576332824	0.517135345096108	-4.20080697234978	0.0000265965282210826	0.000649701857807639
Gjb5	4885.93584554697	-2.15787273737483	0.251438593940436	-8.58210628510758	0.00000000000000000931515087386512	0.00000000000000264702368913669
Abcg4	163.78208406574	-2.14237166992649	0.737787858559561	-2.90377734611844	0.00368690256452011	0.0364346567128304
Fbxo2	246.575478896972	-2.131291242461	0.588086792552682	-3.62411002840209	0.000289958156276724	0.00491165129926656
Epha4	4393.99788973595	-2.12766153637112	0.15467743478054	-13.7554746714665	0.000000000000000000000000000000000000000000472171486351151	0.00000000000000000000000000000000000000183287097916621
Bcl3	128.250714441461	-2.1261895008077	0.562808238368391	-3.77782227739171	0.000158205708968145	0.0029728155083299
Pck2	221.736508068012	-2.12269769927624	0.677827434426574	-3.13161962981329	0.00173844944385659	0.0201886322404163
A630001G21Rik	250.122268461931	-2.11379911270531	0.624279734491633	-3.38598066846849	0.000709243797009679	0.00993512135770903
Liph	186.698919080155	-2.10567838570826	0.590724616197161	-3.56456854509253	0.000364455201683682	0.00590078398632975
Nes	366.382865560074	-2.10267482619041	0.560731902345737	-3.74987550626992	0.000176922382800877	0.00327588731132901
0610007N19Rik	255.537182191044	-2.09189587222711	0.388334047917998	-5.38684641082216	0.0000000717046576092773	0.00000355308061406255
Pcdh19	428.952528964206	-2.08448135085632	0.383191093314135	-5.43979593269796	0.0000000533416353218911	0.0000027106895263577
Mdk	467.633317188179	-2.07205186846154	0.460510169904913	-4.49947037844871	0.00000681229710763005	0.000198651227402206
Necab2	276.168942097153	-2.07165032053314	0.366241433048716	-5.65651543925009	0.0000000154477088697793	0.000000885160075320191
Amer1	159.498131850776	-2.07143963177532	0.733292014223867	-2.82484957096904	0.00473028180955168	0.0439917683100485
